team,season,mvp_vote_share,has_mvp
NYK,2023-24,0.143,1
MIN,2023-24,0.018,1
MIL,2023-24,0.194,1
OKC,2023-24,0.646,1
PHO,2023-24,0.001,1
DEN,2023-24,0.935,1
DAL,2023-24,0.572,1
SAC,2023-24,0.003,1
BOS,2023-24,0.087,1
BOS,2022-23,0.28,1
DEN,2022-23,0.674,1
CLE,2022-23,0.03,1
SAC,2022-23,0.0289999999999999,1
GSW,2022-23,0.005,1
MEM,2022-23,0.001,1
NYK,2022-23,0.001,1
MIA,2022-23,0.003,1
DAL,2022-23,0.01,1
PHI,2022-23,0.915,1
MIL,2022-23,0.606,1
OKC,2022-23,0.046,1
DEN,2021-22,0.875,1
PHO,2021-22,0.218,1
DAL,2021-22,0.146,1
GSW,2021-22,0.004,1
CHI,2021-22,0.001,1
PHI,2021-22,0.706,1
LAL,2021-22,0.001,1
MEM,2021-22,0.01,1
BRK,2021-22,0.001,1
BOS,2021-22,0.043,1
MIL,2021-22,0.595,1
PHI,2020-21,0.583,1
PHO,2020-21,0.138,1
LAC,2020-21,0.001,1
LAL,2020-21,0.001,1
DEN,2020-21,0.961,1
POR,2020-21,0.038,1
NYK,2020-21,0.02,1
MIL,2020-21,0.345,1
DAL,2020-21,0.042,1
WAS,2020-21,0.005,1
GSW,2020-21,0.449,1
UTA,2020-21,0.008,1
TOT,2020-21,0.011,1
MIA,2019-20,0.009,1
BOS,2019-20,0.001,1
DEN,2019-20,0.018,1
LAC,2019-20,0.166,1
DAL,2019-20,0.198,1
TOR,2019-20,0.017,1
LAL,2019-20,0.827,1
MIL,2019-20,0.952,1
OKC,2019-20,0.026,1
POR,2019-20,0.023,1
HOU,2019-20,0.363,1
OKC,2018-19,0.36,1
GSW,2018-19,0.1979999999999999,1
HOU,2018-19,0.768,1
TOR,2018-19,0.013,1
PHI,2018-19,0.049,1
MIL,2018-19,0.932,1
LAL,2018-19,0.001,1
DEN,2018-19,0.21,1
UTA,2018-19,0.001,1
POR,2018-19,0.068,1
CLE,2017-18,0.731,1
MIN,2017-18,0.005,1
PHI,2017-18,0.004,1
TOR,2017-18,0.032,1
HOU,2017-18,0.955,1
GSW,2017-18,0.07,1
POR,2017-18,0.205,1
OKC,2017-18,0.075,1
NOP,2017-18,0.441,1
SAS,2017-18,0.006,1
MIL,2017-18,0.074,1
IND,2017-18,0.002,1
OKC,2016-17,0.879,1
BOS,2016-17,0.08,1
WAS,2016-17,0.007,1
NOP,2016-17,0.002,1
TOR,2016-17,0.001,1
SAS,2016-17,0.495,1
GSW,2016-17,0.053,1
CLE,2016-17,0.33,1
MIL,2016-17,0.007,1
HOU,2016-17,0.746,1
HOU,2015-16,0.007,1
LAC,2015-16,0.082,1
OKC,2015-16,0.483,1
GSW,2015-16,1.038,1
CLE,2015-16,0.482,1
SAS,2015-16,0.484,1
POR,2015-16,0.02,1
TOR,2015-16,0.005,1
